,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Title,Author,Author_short,Year,Country,Outlet,Type of resource allocation,Resource Durability,Type resources,Single/multiple?,Allocation capability,Goal Type,Goal,Ressource attribute types,Resource attributes,Task attribute type,Task attributes,Resource allocation technique type,Resource allocation technique,PM Type,,Process model type,Role of PM/Process data,Input data,Planning at instance/task/stage level,Evaluation Type,Evaluation,Prototypical implementation type,Prototypical implementation,Short describtion of paper,LatexTablecommant,LatexTablecommantshort
,#N/A,#N/A,,2015,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#N/A,#N/A,,#N/A,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,BUSINESS PROCESS MANAGEMENT NOTATION FOR A COSTING MODEL CONCEPTION,"Araujo, Marcelo Bernardino; Rodrigues Filho, Bruno Amado; Goncalves, Rodrigo Franco",,{2016},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Partial Reconfiguration of Control Systems using Petri Nets Structural Redundancy,"Alcaraz-Mejia, Mildreth; Campos-Rodriguez, Raul; Lopez-Mellado, Ernesto; Ramirez-Trevino, Antonio",,2015,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Constraint-based planning and scheduling techniques for the optimized management of business processes,"Barba, Irene",,{2013},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,BUSINESS PROCESS MANAGEMENT NOTATION FOR A COSTING MODEL CONCEPTION,"Araujo, Marcelo Bernardino; Rodrigues Filho, Bruno Amado; Goncalves, Rodrigo Franco",,{2016},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Stochastic multi-objective auto-optimization for resource allocation decision-making in fixed-input health systems,"Bastian, Nathaniel D.; Ekin, Tahir; Kang, Hyojung; Griffin, Paul M.; Fulton, Lawrence V.; Grannan, Benjamin C.",,{2017},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Policy resolution for workflow management systems,C. Bussler ; S. Jablonski ,\citet{bussler1995policy},1995,Germany,Twenty-Eighth Annual Hawaii International Conference on System Sciences,Pull,durable,human,Single,many-to-1,No specific goal,Unspecified goal,"Role, Any","role, attributes",Any,resource policy,Rule,Rule,Workflow models,PM,workflow model,Prep.,Enhanced PM: annotated workflow with policies,enabled task,No evaluation,no evaluation,"not acc., pseudoc.",not publicly available but pseudocode,"paper provides a workflow system structure where for each task has a policy assigned, during runtime resolution of policy by a policy resolution component","\citet{bussler1995policy}&1995&Germany&many-to-1&Unspecified goal&PM&Prep.&Single&Rule&No evaluation&not acc., pseudoc.\\",\citet{bussler1995policy}&1995&many-to-1&Unspecified goal&Single&Rule\\
145,Automated runtime repair of business processes,"van Beest, N. R. T. P.; Kaldeli, E.; Bulanov, R.; Wortmann, J. C.; Lazovik, A.",,{2014},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,A template-based approach for responsibility management in executable business processes,"Cabanillas, Cristina; Resinas, Manuel; Ruiz-Cortes, Antonio",,{2018},no,,,,,,,,,,,,,,,,,,,,,,,,,,"Idea: homogenous resources, heterongenous resources",
127,Constraint-based planning and scheduling techniques for the optimized management of business processes,"Barba, Irene",,{2013},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Analyzing Degree of Parallelism for Concurrent Timed Workflow Processes With Shared Resources,"Du, Y.; Wang, L.; Li, X.",,2017,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,A FRESH APPROACH IN THE OPTIMIZATION OF GOVERNMENT PROCESSES USING ALGORITHMS: A CASE STUDY OF RETIREMENT PROCEDURE IN CAMEROON,"Etoundi, Roger Atsa; Aloo, Ghislain Abessolo; Ndjodo, Marcel Fouda",,{2016},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,On the optimal allocation of resources  in stochastic workflow nets ,"Van Hee, K. M., Reijers, H. A., Verbeek, H. M. W., & Zerguini, L.",\citet{van2001optimal},2001,NL,Proceedings of the Seventeenth UK Performance Engineering Workshop,Push,durable,human and machines,Single,1-to-many,Process-oriented,Minimize cycle time,Previous performance,time per resource to finish task,Estimated performance,"duration, start of creation",Heuristic,Marginal allocation algorithm,Special petrinet class,PM,stochastic petri net,Prep.,Stochastic petri net,activity,Toy example,Toy example,no implementation,no,"pretty basic example (all resource can do all task, time for completion is fixed)",\citet{van2001optimal}&2001&NL&1-to-many&Minimize cycle time&PM&Prep.&Single&Heuristic&Toy example&no implementation\\,\citet{van2001optimal}&2001&1-to-many&Minimize cycle time&Heuristic&Single\\
134,Stochastic multi-objective auto-optimization for resource allocation decision-making in fixed-input health systems,"Bastian, Nathaniel D.; Ekin, Tahir; Kang, Hyojung; Griffin, Paul M.; Fulton, Lawrence V.; Grannan, Benjamin C.",,{2017},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Automated runtime repair of business processes,"van Beest, N. R. T. P.; Kaldeli, E.; Bulanov, R.; Wortmann, J. C.; Lazovik, A.",,{2014},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,A template-based approach for responsibility management in executable business processes,"Cabanillas, Cristina; Resinas, Manuel; Ruiz-Cortes, Antonio",,{2018},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Enforcement of entailment constraints in distributed service-based business processes,"Hummer, Waldemar; Gaubatz, Patrick; Strembeck, Mark; Zdun, Uwe; Dustdar, Schahram",,{2013},no,,,,,,,,,,,,,,,,,,,,,,,,,,Idea: assignment-interdependence and independence,
647,Generating optimized configurable business process models in scenarios subject to uncertainty,"Jimenez-Ramirez, Andres; Weber, Barbara; Barba, Irene; Del Valle, Carmelo",,{2015},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Analyzing Degree of Parallelism for Concurrent Timed Workflow Processes With Shared Resources,"Du, Y.; Wang, L.; Li, X.",,2017,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Optimizing the Composition of a Resource Service Chain With Interorganizational Collaboration,"Li, H.; Liang, M.; He, T.",,2017,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,A FRESH APPROACH IN THE OPTIMIZATION OF GOVERNMENT PROCESSES USING ALGORITHMS: A CASE STUDY OF RETIREMENT PROCEDURE IN CAMEROON,"Etoundi, Roger Atsa; Aloo, Ghislain Abessolo; Ndjodo, Marcel Fouda",,{2016},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Dynamic work distribution in workflow management systems: How to balance quality and performance,"Kumar, A; van der Aalst, WMP; Verbeek, EMW",\citet{kumar2002dynamic},2002,USA,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,Pull,durable,human and machines,Single,1-to-1,Process-oriented,Find most qual. res.,"Role, Workload","role, availability","Req. Role, Priority","suitability to be assigned to a role, urgency",Rule,Rule,Workflow net,PM,workflow net,Input,Rule,enabled task,Toy example,Toy example,no implementation,no,Paper presents rules to assign tasks based on urgency and constraints to resource worklists,\citet{kumar2002dynamic}&2002&USA&1-to-1&Find most qual. res.&PM&Input&Single&Rule&Toy example&no implementation\\,\citet{kumar2002dynamic}&2002&1-to-1&Find most qual. res.&Single&Rule\\
2011,Personal schedules for workflow systems,"Eder, J; Pichler, H; Gruber, W; Ninaus, M",\citet{eder2003personal},2003,Austria,International Conference on Business Process Management,Pull,durable,human,Multiple,1-to-1,Resource-oriented,Balance workload,Workload,tasks per resource,Req. Workload,"time plan, probability to meet its execution, planned start time, planned end time",Heuristic,Heuristic,Workflow models,PM,Workflow model with calculated time plans,Prep.,Enhanced PM: Workflow model with calculated time plans,set of activities,No evaluation,no evaluation,no implementation,no,"paper provides an approach to optimize the individual schedules of resources, whereby the assumption is that one task can be executed by one resource",\citet{eder2003personal}&2003&Austria&1-to-1&Balance workload&PM&Prep.&Multiple&Heuristic&No evaluation&no implementation\\,\citet{eder2003personal}&2003&1-to-1&Balance workload&Multiple&Heuristic\\
334,Enriched workflow modelling and Stochastic Branch-and-Bound,"Doerner, Karl; Gutjahr, Walter J.; Kotsis, Gabriele; Polaschek, Martin; Strauss, Christine",\citet{doerner2006enriched},2006,Austria,{EUROPEAN JOURNAL OF OPERATIONAL RESEARCH},Push,durable and depletable,general,Multiple,1-to-1,Process-oriented,Minimize process cost,"Amount, Any","consumable/persistent, number, connected to activities (FS: Depends entirely on how the function is modeled)",Estimated performance,duration,Metaheuristic,Metaheuristic: Stochastic Branch-and-Bound (Heuristic),Special petrinet class,PM,Time petrinet with resources,Prep.,Enhanced PM: Time Petrinet with resources,set of enabled tasks,Case study,Case study,pseudocode,only pseudocode,"Paper designes an approach for creating a stochastic workflow and solve the resource optimization problem at run-time with a stochastic branch-and-bound approach. The algorithm considers certain global meassures, measures have a cost but might increase performance. it tries to find an optimal alignment.",\citet{doerner2006enriched}&2006&Austria&1-to-1&Minimize process cost&PM&Prep.&Multiple&Metaheuristic&Case study&pseudocode\\,\citet{doerner2006enriched}&2006&1-to-1&Minimize process cost&Multiple&Metaheuristic\\
890,Automated Planning for Business Process Management,"Marrella, Andrea",,{79-98},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Modeling and analyzing the impact of authorization on workflow executions,"He, Ligang; Huang, Chenlin; Duan, Kewei; Li, Kenli; Chen, Hao; Sun, Jianhua; Jarvis, Stephen A.",,2012,no,,Push,,human,,N-1,,Balancing worklist,,,,,,Scheduling strategy,,,CPN,,CPN enhanced with resource authorization rules and cardinality constraints,,,Simulation experiements with toy examples,,"CPN tools, not available","Paper describes a modeling concept for processes and resource authorizations, based on which the process can be analyzed and a new task scheduling method",,
511,Development of process execution rules for workload balancing on agents,"Ha, B. H.; Bae, J.; Park, Y. T.; Kang, S. H.",\citet{ha2006development},2006,Korea,{DATA \& KNOWLEDGE ENGINEERING},Push,durable,human and software systems,Multiple,1-to-1,Resource-oriented,Balance workload,Workload,idle ,"Estimated performance, Req. Role","possibles resources, service time",Rule,Rule,Analytical PM,PM,Analytical process model,Prep.,Queue model: Queuing network,idle resources,(Comp.) sim. experiments,Simulation experiments,pseudocode,no (only pseudocode),"Instead of havining shared work lists, the paper favors individual ones and defines a dispatching rule which can be applied for idle resources",\citet{ha2006development}&2006&Korea&1-to-1&Balance workload&PM&Prep.&Multiple&Rule&(Comp.) sim. experiments&pseudocode\\,\citet{ha2006development}&2006&1-to-1&Balance workload&Rule&Multiple\\
1129,Increasing the efficiency of business processes using a theory of constraints,"Rhee, Seung-Hyun; Cho, Nam Wook; Bae, Hyerim",\citep{rhee2010increasing},2008,USA,{INFORMATION SYSTEMS FRONTIERS},Push,durable,human,Multiple,many-to-1,Resource-oriented,Balance workload,"Previous performance, Workload","task assignment probability, average service rate, workload","Req. Role, Estimated performance, Req. Workload","Estimated execution time, arrival rate, role assignment",Heuristic,Theory of Contraints (Drum-Buffer-Rope (DBR) Scheduling),Enhanced PM,PM,enhanced PM definition,Input,"Heursitic: BPMN, stream of activity instance data, Luise:Enhanced PM",task,(Comp.) sim. experiments,Simulation experiments,"not acc., pseudoc.",not publicly available,"paper redesignes the Drum-Buffer-Rope scheduling approach for business processes, BPM engine controls the release of a process instance into a system","\citep{rhee2010increasing}&2008&USA&many-to-1&Balance workload&PM&Input&Multiple&Heuristic&(Comp.) sim. experiments&not acc., pseudoc.\\",\citep{rhee2010increasing}&2008&many-to-1&Balance workload&Heuristic&Multiple\\
1568,Project-oriented resource assignment: from business process modelling to business process instantiation with operational performance consideration,"Zhou, Y.; Chen, Y.",\citet{zhou2008project},2008,China,{INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING},Push,durable,general,Multiple,1-to-1,Process-oriented,Minimize process cost,"Previous performance, Workload","cost, availability",Estimated performance,"start time, completion time",Metaheuristic,Metaheuristic: Genetic algorithm,Other,PM,IDEF3 and EAON,Prep.,Enhanced PM: due delivery time + punishment cost for each instance,set of instances,Toy example,Toy example,no implementation,no,paper wants to do resource assignment and activity planning with the help of a multi-project opt. model --> solved with genetic miner,\citet{zhou2008project}&2008&China&1-to-1&Minimize process cost&PM&Prep.&Multiple&Metaheuristic&Toy example&no implementation\\,\citet{zhou2008project}&2008&1-to-1&Minimize process cost&Metaheuristic&Multiple\\
593,Enforcement of entailment constraints in distributed service-based business processes,"Hummer, Waldemar; Gaubatz, Patrick; Strembeck, Mark; Zdun, Uwe; Dustdar, Schahram",,{2013},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Generating optimized configurable business process models in scenarios subject to uncertainty,"Jimenez-Ramirez, Andres; Weber, Barbara; Barba, Irene; Del Valle, Carmelo",,{2015},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
